yleensä,usually,_ menen ulos aikaisin aamulla.,Yleensä
lommu,holiday,Meillä on ensi viikolla pitkä _.,lommu
katsoa,to look,Haluan _ elokuvan tänään illalla.,katsoa
kerrostalo,apartment,Asun uudessa _ kaupungin keskustassa.,kerrostalossa
tiedä,to know,En _ mitä minun pitäisi tehdä., tiedä
tehdä,to do,Aion _ tänään kotitehtävät loppuun.,tehdä
avain,key,Missä minun _ on?,avaimeni
etsiä,to search,Hän yritti _ kadonnutta koiraansa.,etsiä
myöhään,late,Jään töissä usein _.,myöhään
selkeä,back (spine),_ ei ole selkeä se on todella kipeä.,Selkäni
-
kipeä,sore,Selkäni ei ole selkeä se on todella _.,kipeä
ulkona,outside,_ on tänään kylmä mutta aurinko paistaa.,Ulkona
oppia,to learn,Haluan _ uuden kielen tänä vuonna.,oppia
nukkua, to sleep,Rakastan _ viikonloppuisin pitkään.,nukkua
ottoa,to take,Voitko _ nämä kirjat mukaan kouluun?,ottaa
antaa, to give,Hän halusi _ lahjan ystävälleen.,antaa
paistaa,to fry,Aion _ kanan illalliseksi.,paistaa
pyörä,bike,Lainasin _ koska autoni oli rikki.,pyörän
harrastaa,to be interested in,Tykkään _ valokuvausta vapaa-ajallani.,harrastaa
